likes,body,time
65,"Вышел второй выпуск нашего ютьюб-шоу #скажигордеевой. Катерина Гордеева говорит с Наталией Мещаниновой, автором сценария «Аритмии», одного из самых популярных российских фильмов последних лет.

https://youtu.be/YwDutgE5-cY

В этом выпуске:

➤ Как найти в себе силы говорить о пережитом в детстве сексуальном насилии и начать помогать другим жертвам

➤ Как снять мужа в эротической сцене

➤ Сколько платят в российском кино

Подписывайтесь на наш канал в ютьюбе и нажимайте на колокольчик, чтобы не пропустить новые выпуски!

https://youtu.be/YwDutgE5-cY",1601026960
98,Что происходило в юбилейный день белорусских протестов,1601229108
58,"В подкасте «Текст недели» обсуждаем материал медицинского редактора «Медузы» Дарьи Саркисян о том, кто и как учит врачей в России. Почему у нас по-прежнему много специалистов, которые назначают препараты с недоказанной эффективностью? Как современные медики пытаются изменить ситуацию и помогают обучать коллег? И кстати – как понять, что перед вами квалифицированный врач?",1601226847
191,"В столице Беларуси и на ее окраинах появились целые ""протестные дворы"" - соседи там выражают свое несогласие с властью, рисуют оппозиционные муралы - а потом, когда их закрашивают, рисуют заново, а потом опять и опять - а также организуют флешмобы и устраивают концерты.

Корреспонденты «Медузы» посмотрели на спальные районы Минска, которые проснулись",1601224447
56,"Президент России обсудил ситуацию в Нагорном Карабахе с премьер-министром Армении Николом Пашиняном. Владимир Путин отметил, что нужно не допустить дальнейшей эскалации конфликта и, главное, прекратить военные действия, начавшиеся утром 27 сентября.",1601222047
69,"В УВД заявили, что спецсредства применялись из-за того, что демонстранты «предприняли попытку радикализации протестной акции, попытались прорвать цепь сотрудников милиции».",1601219647
88,На фоне нового обострения конфликта в Нагорном Карабахе в ряде регионов Азербайджана вводится военное положение. В Баку будет действовать комендантский час. Ранее военное положение и всеобщая мобилизация объявлялись в Армении и непризнанной Нагорно-Карабахской республике.,1601217247
99,"Премьер-министр Армении выступил со специальным обращением к нации из-за очередного обострения в Нагорном Карабахе. Никол Пашинян призвал не допустить вмешательства Турции в конфликт, которая обещала в случае необходимости выступить на стороне Азербайджана.",1601214847
165,"В 50-й день протестов в Беларуси демонстранты намерены провести «народную инаугурацию» Светланы Тихановской, противостоявшей Александру Лукашенко на выборах президента. Днем 27 сентября в Минске на проспекте Победителей у стелы «Минск — город-герой» вновь стали собираться протестующие. Милиция задержала нескольких участников акции. ",1601212447
368,"— Ну, ребят, слушайте, на ваши звонки уже даже престарелые бабки не ведутся. Может, хватит уже? Придумали бы что новое.
— Да *****, а что придумать-то?! Попробуйте предложить что-то свое! Критиковать все горазды!

Недавно мы попросили вас присылать нам интересные и смешные диалоги с мошенниками, которые представляются сотрудниками банков. Вы постарались на славу.

Вот лучшее из присланного.",1601210047
111,"Что известно на данный момент об очередном обострении в Нагорном Карабахе: Армения и Азербайджан ведут боевые действия с применением танков, авиации и артиллерии. Обе стороны обвиняют друг друга в провоцировании конфликта. По предварительным данным, с обеих сторон есть жертвы и раненые. В Баку заявили, что взяли под контроль семь сел на линии соприкосновения. В Ереване и Степанакерте это опровергают.",1601207647
48,"В свежем выпуске нашего еженедельного плейлиста провокационный Хаски, возвышенный Стивенс, пронзительный «Мегаполис», нестареющие Public Enemy, боевые Idles и многие другие.",1601203210
94,Дональд Трамп заранее грозится не признать свое поражение на выборах. А как он может это сделать? И что тогда будет? Журнал The Atlantic рассмотрел все возможные сценарии — вплоть до явления на инаугурацию обоих кандидатов в президенты и фактического развала страны,1601200810
166,"После того, как утром 27 сентября Нагорный Карабах подвергся массированному обстрелу, военные Армении и Азербайджана обвинили друг друга в провокации и начали боевые действия. В непризнанной республике и Армении объявлены военное положение и всеобщая мобилизация.",1601198407
83,"48-летняя Эми Кони Барретт — убежденная католичка, придерживающаяся консервативных взглядов и, в частности, выступающая против абортов. В случае утверждения Сенатом она станет самым молодым членом Верховного суда США.",1601196007
111,"В Москве за сутки выявлены 2016 новых случаев заражения коронавирусной инфекцией, а всего по России — 7867. Это максимальное значение с середины июня.",1601193607
