likes,body,time
3,"Лейденские врачи собрали более тысячи историй ревматоидного атрита и заметили, что пациенты без аутоантител реагируют на лечение хуже. А значит, их болезнь развивается по другому принципу, и его можно признать отдельным типом болезни:

https://nplus1.ru/news/2020/09/22/rheumatoid-arthritis-x2

А датские врачи предположили, что болезнь Паркинсона может развиваться по двум типам: «сверху вниз», то есть из головного мозга к периферии, или наоборот, подниматься «снизу вверх» из кишечника:

https://nplus1.ru/news/2020/09/23/two-parkinsons

#главноезанеделю",1601232258
36,"Клонирование людей запретили раз и навсегда. Случится ли то же самое с редактированием генома? Мы прочитали рекомендации международной комиссии ученых и делаем свои прогнозы. Спойлер: кажется, можно будет редактировать почти что угодно, если вы докажете, что ваш случай достаточно серьезный

#главноезанеделю",1601226840
161,"Российские школьники заняли второе место в неофициальном командном зачете на 61-й Международной математической олимпиаде. Команда России завоевала две золотые и четыре серебряные медали и набрала 185 баллов

https://nplus1.ru/news/2020/09/27/imo20",1601224818
91,"Если пощекотать крысу, она издаст ультразвуковой писк частотой около 50 килогерц. Как обнаружили исследователи, это «честный» индикатор их настроения: чем больше грызуну нравится почесывание, тем интенсивнее писк. Для сравнения, люди могут улыбаться или смеяться, даже если не испытывают положительных эмоций. Авторы надеются, что открытие сделает исследования эмоций у животных более точными, а также повысит качество жизни крыс, которые содержатся в неволе

https://nplus1.ru/news/2020/09/23/ultrasonic-rats

#главноезанеделю",1601221483
14,"Воссоздание сюжетов знаменитых полотен с помощью подручных средств и фантазии — чрезвычайно увлекательное занятие, особенно во время карантина. Мы уверены, что дикие животные тоже не чужды этому хобби. Чтобы доказать это, мы собрали для вас семь фотографий зверей, птиц и других существ, которые выглядят так, будто копируют шедевры живописи. Нажмите на карточку с картиной — и оцените ее «зверскую» версию

https://nplus1.ru/material/2020/09/21/wild-IsoIsolation

#главноезанеделю",1601216070
77,"Продолжаем наш воскресный обзор лучших новостей и материалов недели.

Астрономы из коллаборации Телескопа горизонта событий, которая год назад представила миру первое в истории изображение тени черной дыры в галактике М87, опубликовали результаты анализа данных наблюдений за этой черной дырой, которые охватывают уже не неделю, а восемь лет. В итоге им удалось зафиксировать изменения ее яркости, а также подтвердить неизменность диаметра тени, что согласуется с предсказаниями Общей теории относительности Эйнштейна

https://nplus1.ru/news/2020/09/23/wobbling-shadow-in-m-87

#главноезанеделю",1601210672
51,"Наверняка вы, наткнувшись в интернете на фотографии Киану Ривза, задавались вопросом: «Почему же он так молодо выглядит в 56 лет?». Рассказываем, на какие признаки мы ориентируемся, когда пытаемся определить возраст человека «на глаз», почему нейросети оказались лучше в нас в этом вопросе и правда ли молодой внешний вид говорит о молодости организма

#главноезанеделю",1601203500
55,"Астрономы открыли «π-Землю» —  экзопланету K2-315b, сравнимую по размерам с нашей планетой, которая вращается вокруг маломассивного красного карлика. Год на этой экзопланете длится 3,14 земных дня, из-за этого ученые и дали ей такое прозвище

https://nplus1.ru/news/2020/09/21/pi-earth-lol

#главноезанеделю",1601198099
43,"Друзья, мы начинаем наш воскресный дайджест лучших новостей и материалов недели!

Ученые разделились во взглядах о том, какая функция сна основная — восстановительная или обучающая. Но американские ученые обнаружили, что значение сна у человека меняется в течение жизни: в раннем детстве сон направлен на формирование новых нейронных связей и обучение и в большей мере проходит в форме быстрого сна, а после и в течение всей последующей жизни во время сна в мозгу происходят процессы восстановления и очищения. Переход от одной функции сна к другой происходит достаточно резко, и этот переломный момент приходится на возраст двух-трех лет

https://nplus1.ru/news/2020/09/21/why-we-sleep

#главноезанеделю",1601192653
93,"Известно, что эффект плацебо основан на биологических механизмах, но эти механизмы пока до конца не ясны. Исследователи из Мюнхена укачали на крутящихся креслах сто человек, чтобы пролить свет на этот вопрос. Оказалось, что состав крови тех, кого от тошноты «лечили» плацебо и не лечили вовсе, отличается. На основе этих отличий можно даже предсказать подверженность пациента эффекту плацебо

https://nplus1.ru/news/2020/09/26/blood-test-placebo",1601150740
113,"Тетрагидроканнабинол снова оказывается в центре внимания в вопросе профилактики онкологических заболеваний. На этот раз ТГК сумел предотвратить сначала воспаление в стенке толстой кишки, а затем и рак этого органа. Такого эффекта вещество достигло за счет того, что оно смогло изменить фенотип иммунных клеток в тканях толстой кишки и заставить их не синтезировать провоспалительные цитокины 

https://nplus1.ru/news/2020/09/26/thc-colitis",1601145638
227,"Считается, что высокий интеллект млекопитающих связан с развитием коры больших полушарий, но у птиц нет коры, а они бывают очень умны и необычайно находчивы, потому что у них есть паллиум (аналог коры). Как показали немецкие ученые, сенсорные отделы паллиума устроены похожим образом с корой больших полушарий: в них также выделяются слои, образованные поперечными и продольными волокнами, и особые функциональные объединения — «колонки». Такая организация позволяет реагировать на многие параметры внешнего воздействия, удерживать информацию о них надолго в памяти и при необходимости объединять и соотносить потоки информации. А еще ученые обнаружили и маркер сенсорного сознания у птиц с помощью регистрации работы нейронов у ворон. Оказалось, эти птицы спустя время могут сообщить, видели они изображение или нет

https://nplus1.ru/news/2020/09/26/avian-forebrain",1601128973
40,"Американская компания ZeroAvia провела первые летные испытания самолета HyFlyer, работающего на водородных топливных элементах. В конце года он отправится в длительный полет, во время которого преодолеет около 400 километров

https://nplus1.ru/news/2020/09/26/zeroavia",1601123707
39,"Rolls-Royce провела наземные испытания двигательной установки и сопутствующих систем электрического самолета ionBird. До конца года самолет совершит первый полет, а в начале следующего года разработчики надеются установить мировой рекорд скорости в электрической авиации

https://nplus1.ru/news/2020/09/26/accel-ground",1601114095
49,"В будущем нас ждет энергодефицит: к 2040 потребность в электричестве вырастет на 70 процентов. Поэтому ученые все чаще задумываются о том, как наладить и удешевить синтез энергии звезд. В партнерском материале рассказываем, что необходимо для термоядерного синтеза и каким образом лазерные термоядерные реакторы могут быть полезны уже сейчас

https://nplus1.ru/material/2020/09/16/sarov-star-energy",1601105881
76,"Посреди башкирских степей высятся три холма. На их склонах нашли приют редкие растения и животные, а сотни миллионов лет назад они были богатыми жизнью рифами. По предложению читателей мы перевели на башкирский язык статью о том, как стерлитамакские шиханы оказались «вратами» на дно Палеоуральского океана и как добыча соды уничтожила их четвертого «брата»

Статья на русском: https://nplus1.ru/material/2020/08/25/shihans 

Перевод выполнен для проекта «Языки России», который создан при содействии АНО «Институт развития интернета»",1601102820
77,"Почему башкиры и татары легко понимают друг друга и что заставляет башкир учить родной язык во взрослом возрасте? Об еще одном агглютинативном языке с очень длинными словами рассказывает Айгуль Рашитова, филолог и организатор клуба башкирского языка в Уфе.

Это 19-й ролик проекта «Языки России», который посвящен 50 самым распространенным в России языкам. Проект создан при содействии АНО «Институт развития интернета»",1601099820
56,"Усилия китайской космической программы позволили человечеству совершить очередной маленький шаг на пути к освоению Луны. Ученые из Китая и Германии обработали данные дозиметрического эксперимента миссии «Чанъэ-4» и впервые в истории представили разрешенные во времени измерения радиационного фона на поверхности спутника. По результатам расчетов эквивалентная доза излучения примерно в 200 раз превысила аналогичный показатель для Земли и приблизительно в 1,9 раза — величину дозы на МКС

https://nplus1.ru/news/2020/09/25/chang-e-dosimetry",1601060485
