likes,body,time
76,"Сериал «Острые козырьки» взорвал кинематограф, завоевав сердца миллионов поклонников по всему миру! Стиль, актёрская игра... и неповторимый диалект Бирмингема! В 12-м выпуске «Акцент Шоу» ведущий Алексей Ярошевский разбирает один из самых сложных говоров Англии — Brummie! 
 
Если вы любите сериал «Острые козырьки», слушаете Black Sabbath, болеете за «Астон Вилла» или «Бирмингем Сити», ну или просто планируете посетить второй по размерам город Англии, то вам сюда! 
 
By order of the Peaky Blinders! 
 
https://youtu.be/tQuaQjV4OoA",1600961392
0,"Трамп выдвинул кандидата на пост судьи Верховного суда

➡Подробнее: https://russian.rt.com/world/news/787172-tramp-sud-kandidatura",1601156856
4,"Хакеры взломали сайт Белорусской телерадиокомпании

➡Подробнее: https://russian.rt.com/ussr/news/787166-hakery-vzlom-belorusskoi-teleradiokompanii",1601155800
5,"Выживший при крушении Ан-26 под Харьковом рассказал о катастрофе

➡Подробнее: https://ru.rt.com/gvb0",1601155200
6,"Названа цена препарата от коронавируса «Авифавир» 

➡Читать далее: https://ru.rt.com/gusb",1601154600
0,"Главный тренер «Сочи» прокомментировал своё удаление в матче с «Краснодаром»

➡Читать далее: https://russian.rt.com/sport/news/787162-fedotov-udalenie-sochi-krasnodar",1601154002
4,"Профессор назвал основную «хитрость» коронавируса

➡Читать далее: https://russian.rt.com/science/news/787160-professor-hitrost-koronavirus",1601153400
7,"300 лет тюрьмы каждому 

➡Подробнее: https://ru.rt.com/gutu",1601152800
6,"Последние данные по ситуации с коронавирусом в Москве

➡Читать далее: https://russian.rt.com/russia/news/787161-moskva-koronavirus-smert",1601152200
9,,1601151300
0,"Байден поделился мнением о предстоящих дебатах с Трампом

➡Читать далее: https://russian.rt.com/world/news/787148-baiden-tramp-debaty-mnenie",1601150700
7,"Глава Харьковской области сделал заявление насчёт крушения самолёта Ан-26

➡Подробнее: https://russian.rt.com/ussr/news/787152-an-26-krushenie-dispetchery-proverka",1601150100
5,"Как «Сочи» сыграл с «Краснодаром» в матче РПЛ

➡Читать далее: https://russian.rt.com/sport/news/787151-sochi-krasnodar-rpl",1601149500
17,"Суд принял решение насчёт сына бывшего вице-губернатора Брянской области

➡Подробнее: https://russian.rt.com/russia/news/787146-dtp-bryansk-syn-chinovnika",1601148900
21,,1601148300
7,"Последние данные по ситуации с коронавирусом во Франции

➡Подробнее: https://russian.rt.com/world/news/787139-franciya-koronavirus-statistika",1601147700
37,"Рекорд в Петербурге 
 
➡Подробнее: https://ru.rt.com/gvcy",1601147100
10,"В Минобороны рассказали о ситуации с COVID-19 среди военнослужащих 

➡Подробнее: https://russian.rt.com/russia/news/787136-minoborony-situaciya-koronavirus",1601146620
22,"«Американцы чувствуют отставание»

➡Подробнее: https://russian.rt.com/world/article/786702-novyi-perehvatchik-ssha-sistema-pro",1601146140
13,"«Налицо дискриминация»

➡Подробнее: https://russian.rt.com/world/article/786676-facebook-diskriminaciya-rossiya-cenzura",1601145660
4,,1601145210
21,"«Нам нужно было вернуть должок»

➡Подробнее: https://ru.rt.com/gvcv",1601144700
25,"«Мы бы скрывали и дальше, но ради «Вечернего Урганта» сделали исключение» 
 
➡Подробнее: https://russian.rt.com/sport/news/786379-averbuh-arzamasova-otnosheniya",1601144220
9,"Тревожные новости по ситуации с коронавирусом в Греции

➡Подробнее: https://russian.rt.com/world/news/787132-greciya-sluchai-koronavirus",1601143765
12,"Трагедия в Сирии

➡Подробнее: https://russian.rt.com/world/news/787128-siriya-pogibshie-vzryv-avtomobilya",1601143260
9,"В России с 1 октября изменится порядок получения пенсий на карту 
 
➡Подробнее: https://russian.rt.com/russia/news/786990-rossiya-pensii-karta",1601142962
12,"Число случаев коронавируса в Великобритании превысило значимую отметку

➡Подробнее: https://russian.rt.com/world/news/787130-velikobritaniya-koronavirus-statistika",1601142581
11,"В Киеве выступили с предложением насчёт встреч по Донбассу

➡Подробнее: https://russian.rt.com/ussr/news/787134-kiev-vstrechi-donbass",1601142000
14,"Стало известно о задержаниях в Лондоне

➡Подробнее: https://russian.rt.com/world/news/787131-london-protest-zaderzhanie",1601141580
13,"Во Франции выступили с заявлением после крушения Ан-26 

➡Подробнее: https://russian.rt.com/world/news/787129-franciya-ukraina-an-26",1601141160
10,,1601140740
16,"Обнаружены чёрные ящики потерпевшего крушение под Харьковом Ан-26 

➡Подробнее: https://russian.rt.com/ussr/news/787127-chyornye-yaschiki-harkov-an-26",1601140320
7,"Стрельба в Подмосковье

➡Подробнее: https://russian.rt.com/russia/news/787124-podmoskove-muzhchina-strelba",1601139901
10,"Выживший при крушении Ан-26 под Харьковом рассказал о катастрофе 
 
➡Подробнее: https://russian.rt.com/ussr/news/787068-harkovskaya-oblast-krushenie-an-26",1601139480
8,"Прокуратура Москвы начала проверку после падения ребёнка из окна дома 

➡Подробнее: https://russian.rt.com/russia/news/787122-moskva-rebyonok-okno-padenie",1601139060
5,"Последние данные о ЧП в Подмосковье

➡Подробнее: https://russian.rt.com/russia/news/787119-pozhar-podmoskove-likvidaciya",1601138640
14,"«К сожалению, некоторые полицейские были ранены при взаимодействии с людьми»

➡Подробнее: https://russian.rt.com/world/news/787114-london-protest-ranenie",1601138220
17,"В России прогнозируют рост тарифов на электроэнергию
 
➡Подробнее: https://russian.rt.com/russia/news/787116-rossiya-tarify-elektroenergiya",1601137920
13,"Число случаев коронавируса в одной из стран превысило 50 тысяч

➡Подробнее: https://russian.rt.com/ussr/news/787104-moldaviya-koronavirus-statistika",1601137500
65,,1601137080
12,"«Норникель» выступил с громким призывом насчёт аварии в Норильске

➡Подробнее: https://russian.rt.com/russia/news/787102-nornikel-shtraf-avariya-norilsk",1601136660
11,"Важные новости для жителей Подмосковья на фоне ситуации с коронавирусом 
 
➡Подробнее: https://russian.rt.com/russia/news/787009-podmoskove-samoizolyaciya-rekomendaciya",1601136240
19,"Лукашенко отреагировал на крушение Ан-26 под Харьковом 
 
➡Подробнее: https://russian.rt.com/ussr/news/787053-lukashenko-krushenie-an-26",1601135760
18,"«Сегодня он фактически празднует второй день рождения» 
 
➡Подробнее: https://russian.rt.com/ussr/news/787061-zelenskii-vyzhivshii-an-26",1601135340
16,"В ГУВД Минска сделали заявление насчёт акций протеста

➡Читать далее: https://russian.rt.com/ussr/news/787099-minsk-zaderzhanie-akciya",1601134920
12,"Неожиданные данные о ситуации с крушением Ан-26 под Харьковом

➡Читать далее: https://russian.rt.com/ussr/news/787095-syn-nikolaev-smert-an-26",1601134562
5,"В Москве произошло ДТП с Ferrari и маршруткой

➡Читать далее: https://russian.rt.com/russia/news/787097-moskva-dtp-ferrari",1601134246
13,"В МИД России сделали громкое заявление по ситуации вокруг Навального 
 
➡Читать далее: https://russian.rt.com/world/news/786876-mid-rossiya-navalnyi-germaniya",1601133866
6,,1601133481
4,"Опубликовано видео крушения самолёта Ан-26 под Харьковом 
 
➡Подробнее: https://russian.rt.com/ussr/news/787049-krushenie-an-26-harkovskaya-oblast",1601133272
4,"Стало известно о намерениях нового премьера Японии касательно Путина 
 
➡Подробнее: https://russian.rt.com/world/news/786976-peregovory-yaponiya-putin",1601132760
24,"Марии Рабковой предъявлено обвинение

➡Подробнее: https://russian.rt.com/ussr/news/787092-belorussiya-pravozaschitnica-besporyadki",1601132460
11,"«Конор сегодня выпил своё виски раньше обычного»

➡Подробнее: https://russian.rt.com/sport/news/787073-gibbons-pakyao-boi-makgregor",1601132030
24,"Собянин сообщил о возобновлении соцпомощи для пожилых москвичей на фоне ситуации с коронавирусом

➡Подробнее: https://russian.rt.com/russia/article/787064-koronavirus-sobyanin-socpomosch",1601131500
10,"Серьёзные последствия миномётного обстрела в пригороде Горловки

➡Подробнее: https://russian.rt.com/ussr/news/787084-dnr-gorlovka-obstrel",1601131080
6,"Премьер Украины принял решение насчёт организаторов полёта Ан-26

➡Подробнее: https://russian.rt.com/ussr/news/787080-organizatory-polyot-an-26-otstranenie",1601130660
22,"Одна из стран заявила о планах закупить вакцину от COVID-19 на сумму $6,3 млн

➡Подробнее: https://russian.rt.com/ussr/news/787078-armeniya-vakcina-koronavirus",1601130360
18,"«В организме Алексея Навального найден яд семейства «Новичок» — говорят нам немцы»

➡МНЕНИЯ: https://russian.rt.com/opinion/787052-petrovskii-otravleniya-propaganda-zapad",1601130034
28,"Новый шаг в отношениях России и Белоруссии

➡Подробнее: https://russian.rt.com/ussr/news/787062-forum-regionov-rossiya",1601129684
7,"Министр обороны Украины назвал возможную причину крушения Ан-26 
 
➡Подробнее: https://russian.rt.com/ussr/news/787012-ukraina-krushenie-an-26",1601129340
16,"Во ФСИН рассказали новые подробности смерти Тесака в СИЗО 
 
➡Подробнее: https://russian.rt.com/russia/news/786630-tesak-fizsila-fsin",1601129049
9,"Один ребёнок погиб и один пострадал при наезде грузовика в Приморье

➡Подробнее: https://russian.rt.com/russia/news/787076-primore-deti-dtp-smert",1601128380
6,"Суд Нижегородской области принял решение насчёт подозреваемого в убийстве девочки

➡Подробнее: https://russian.rt.com/russia/news/787070-nizhegorodskaya-oblast-ubiistvo-devochka-arest",1601128102
16,"Зеленский прибыл в Донбасс

➡Подробнее: https://russian.rt.com/ussr/news/787072-zelenskii-poezdka-donbass",1601127437
19,"«Вблизи наших границ осуществлялись полёты разведывательной авиации США и НАТО»

➡Подробнее: https://russian.rt.com/russia/article/787010-gerasimov-minoborony-intervyu",1601126880
18,"«Они совершили величайшее злодеяние в истории»

➡Подробнее: https://russian.rt.com/world/news/787066-ruhani-sankcii-ssha-zlodeyanie",1601126460
12,"Выживший при крушении Ан-26 под Харьковом рассказал о катастрофе

➡Подробнее: https://russian.rt.com/ussr/news/787068-harkovskaya-oblast-krushenie-an-26",1601126040
14,"Путин обратился к Людмиле Максаковой

➡Подробнее: https://russian.rt.com/nopolitics/news/787046-putin-pozdravil-maksakovu",1601125620
7,"«Сегодня он фактически празднует второй день рождения»

➡Подробнее: https://russian.rt.com/ussr/news/787061-zelenskii-vyzhivshii-an-26",1601125211
3,"В одной из стран число случаев коронавируса достигло 39 895

➡Подробнее: https://russian.rt.com/ussr/news/787059-azerbaidzhan-chislo-koronavirus",1601124780
10,"Определён главный показатель начала второй волны коронавируса 
 
➡Читать далее: https://russian.rt.com/russia/news/786629-pokazatel-vtoraya-volna-koronavirus",1601124360
9,"В России изменится порядок выплат пенсий на карту

➡Подробнее: https://russian.rt.com/russia/article/787021-pensii-karta-mir",1601123940
13,"Торжественное событие в жизни Людмилы Максаковой

➡ФОТОГАЛЕРЕЯ: https://russian.rt.com/nopolitics/foto/784422-aktrisa-lyudmila-maksakova",1601123520
35,"Что происходит сейчас в Минске

➡Подробнее: https://russian.rt.com/ussr/news/787058-minsk-zaderzhanie-akciya",1601122966
2,"Что теперь будет с легендарной премией BAFTA

➡Подробнее: https://russian.rt.com/nopolitics/article/786646-bafta-pravila-tolerantnost",1601122620
1,"Каким получился новый сериал о работе Telegram

➡Подробнее: https://russian.rt.com/nopolitics/article/786654-serial-telegram-kinopoisk",1601122200
6,"Стало известно о ситуации с коронавирусом в Польше

➡Подробнее: https://russian.rt.com/world/news/787050-polsha-chislo-koronavirus",1601121840
19,"Лукашенко отреагировал на крушение Ан-26 под Харьковом

➡Подробнее: https://russian.rt.com/ussr/news/787053-lukashenko-krushenie-an-26",1601121468
17,"Песков рассказал о планах Путина насчёт президиума Госсовета

➡Подробнее: https://russian.rt.com/russia/news/787047-putin-prezidium-gossovet",1601120905
